2023-09-28 17:26:49.684882
Experiment: 	Action_FP_4
Participant: 	006
Counterbalancing order: 	2
Handedness: 	right
Frame Rate: 	119.9256594861355

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
006	0	0	yes	external	practice	NaN	1.1	NaN	2.8	right	1	1	8	0.7046480178833008	0	NaN	NaN	0.49
006	0	1	yes	external	practice	NaN	1.7	NaN	2.8	left	1	1	7	0.4677870273590088	0	NaN	NaN	0.23
006	0	2	yes	external	practice	NaN	1.6	NaN	1.0	right	1	1	8	0.4284830093383789	0	NaN	NaN	0.2
006	0	3	yes	external	practice	NaN	1.6	NaN	1.0	right	1	1	8	0.5015339851379395	0	NaN	NaN	0.22
006	0	4	yes	external	practice	NaN	1.4	NaN	1.0	right	1	1	8	0.5070760250091553	0	NaN	NaN	0.54
006	0	5	yes	external	practice	NaN	1.3	NaN	2.8	left	1	1	7	0.7394318580627441	0	NaN	NaN	0.34
006	0	6	yes	external	practice	NaN	1.3	NaN	2.8	left	1	1	7	0.4521908760070801	0	NaN	NaN	0.17
006	0	7	yes	external	practice	NaN	1.0	NaN	1.0	left	1	1	7	0.5632259845733643	0	NaN	NaN	0.26
006	0	0	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.5277299880981445	0	NaN	NaN	0.45
006	0	1	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.593796968460083	0	NaN	NaN	0.36
006	0	2	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.6551449298858643	0	NaN	NaN	0.18
006	0	3	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.4861929416656494	0	NaN	NaN	0.4
006	0	4	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.40633201599121094	0	NaN	NaN	0.27
006	0	5	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.5978140830993652	0	NaN	NaN	0.67
006	0	6	no	external	constant	long	1.7	NaN	2.8	right	1	1	8	0.5680158138275146	0	NaN	NaN	0.56
006	0	7	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.37523412704467773	0	NaN	NaN	0.23
006	0	8	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.4596540927886963	0	NaN	NaN	0.31
006	0	9	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.5675179958343506	0	NaN	NaN	0.27
006	0	10	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.4668760299682617	0	NaN	NaN	0.21
006	0	11	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.6019477844238281	0	NaN	NaN	0.33
006	0	12	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.5518970489501953	0	NaN	NaN	0.41
006	0	13	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	1.0870449542999268	0	NaN	NaN	0.16
006	0	14	no	external	constant	long	1.4	NaN	2.8	left	1	1	7	0.703667163848877	0	NaN	NaN	0.29
006	0	15	no	external	constant	long	1.8	NaN	2.8	left	1	1	7	0.5842180252075195	0	NaN	NaN	0.16
006	0	16	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.7472541332244873	0	NaN	NaN	0.24
006	0	17	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.6876978874206543	0	NaN	NaN	0.41
006	0	18	no	external	constant	long	1.2	NaN	2.8	left	1	1	7	0.714954137802124	0	NaN	NaN	0.19
006	0	19	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.6659510135650635	0	NaN	NaN	0.32
006	0	20	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.6635181903839111	0	NaN	NaN	0.74
006	0	21	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.5172948837280273	0	NaN	NaN	0.43
006	0	22	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.8326709270477295	0	NaN	NaN	0.16
006	0	23	no	external	constant	long	1.0	NaN	2.8	left	1	1	7	0.5627639293670654	0	NaN	NaN	0.25
006	0	24	no	external	constant	long	1.4	NaN	2.8	left	1	1	7	0.7102549076080322	0	NaN	NaN	0.4
006	0	25	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.5586590766906738	0	NaN	NaN	0.22
006	0	26	no	external	constant	long	1.0	NaN	2.8	right	1	1	8	0.6184070110321045	0	NaN	NaN	0.69
006	0	27	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.5516221523284912	0	NaN	NaN	0.38
006	0	28	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.6507501602172852	0	NaN	NaN	0.36
006	0	29	no	external	constant	long	1.2	NaN	2.8	left	1	1	7	0.6926240921020508	0	NaN	NaN	0.18
006	0	30	no	external	constant	long	1.6	NaN	2.8	left	1	1	7	0.8037760257720947	0	NaN	NaN	0.2
006	0	31	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.6100599765777588	0	NaN	NaN	0.17
006	0	32	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.5309348106384277	0	NaN	NaN	0.24
006	0	33	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.7819631099700928	0	NaN	NaN	0.49
006	0	34	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.6664650440216064	0	NaN	NaN	0.36
006	0	35	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.6844289302825928	0	NaN	NaN	0.55
006	0	36	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.66013503074646	0	NaN	NaN	0.21
006	0	37	no	external	constant	long	1.4	NaN	2.8	left	0	0	NaN	NaN	0	NaN	NaN	0.55
006	0	38	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.6883201599121094	0	NaN	NaN	0.22
006	0	39	no	external	constant	long	1.2	NaN	2.8	left	1	1	7	0.598344087600708	0	NaN	NaN	0.34
006	0	40	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.64410400390625	0	NaN	NaN	0.41
006	0	41	no	external	constant	long	1.6	NaN	2.8	left	1	1	7	0.6681008338928223	0	NaN	NaN	0.45
006	0	42	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.629647970199585	0	NaN	NaN	0.35
006	0	43	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.48317599296569824	0	NaN	NaN	0.23
006	0	44	no	external	constant	long	1.4	NaN	2.8	left	1	1	7	0.6896569728851318	0	NaN	NaN	0.49
006	0	45	no	external	constant	long	1.6	NaN	2.8	left	1	1	7	0.5357410907745361	0	NaN	NaN	0.16
006	0	46	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.8563640117645264	0	NaN	NaN	0.4
006	0	47	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.6394860744476318	0	NaN	NaN	0.45
006	0	48	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.7198019027709961	0	NaN	NaN	0.73
006	0	49	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.5444869995117188	0	NaN	NaN	0.23
006	0	50	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.5997939109802246	0	NaN	NaN	0.65
006	0	51	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.7026669979095459	0	NaN	NaN	0.19
006	0	52	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.6051280498504639	0	NaN	NaN	0.27
006	0	53	no	external	constant	long	1.0	NaN	2.8	right	1	1	8	0.8941299915313721	0	NaN	NaN	0.17
006	0	54	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.802962064743042	0	NaN	NaN	0.32
006	0	55	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.8143329620361328	0	NaN	NaN	0.3
006	1	0	no	external	constant	short	1.7	NaN	1.0	right	1	1	8	0.796928882598877	0	NaN	NaN	0.27
006	1	1	no	external	constant	short	1.3	NaN	1.0	left	1	1	7	0.6082830429077148	0	NaN	NaN	0.41
006	1	2	no	external	constant	short	1.4	NaN	1.0	left	1	1	7	0.689345121383667	0	NaN	NaN	0.16
006	1	3	no	external	constant	short	1.5	NaN	1.0	left	1	1	7	0.532954216003418	0	NaN	NaN	0.61
006	1	4	no	external	constant	short	1.7	NaN	1.0	left	1	1	7	0.7068469524383545	0	NaN	NaN	0.24
006	1	5	no	external	constant	short	1.0	NaN	1.0	right	1	1	8	0.700822114944458	0	NaN	NaN	0.22
006	1	6	no	external	constant	short	1.1	NaN	1.0	right	1	1	8	0.5776817798614502	0	NaN	NaN	0.23
006	1	7	no	external	constant	short	1.3	NaN	1.0	left	1	1	7	0.7393901348114014	0	NaN	NaN	0.4
006	1	8	no	external	constant	short	1.4	NaN	1.0	right	1	1	8	0.9821491241455078	0	NaN	NaN	0.49
006	1	9	no	external	constant	short	1.4	NaN	1.0	right	1	1	8	0.6619219779968262	0	NaN	NaN	0.54
006	1	10	no	external	constant	short	1.2	NaN	1.0	left	1	1	7	0.6204440593719482	0	NaN	NaN	0.33
006	1	11	no	external	constant	short	1.6	NaN	1.0	right	1	1	8	0.9651391506195068	0	NaN	NaN	0.59
006	1	12	no	external	constant	short	1.5	NaN	1.0	left	1	1	7	0.5775809288024902	0	NaN	NaN	0.79
006	1	13	no	external	constant	short	1.4	NaN	1.0	left	1	1	7	0.7467689514160156	0	NaN	NaN	0.2
006	1	14	no	external	constant	short	1.2	NaN	1.0	left	1	1	7	0.6323440074920654	0	NaN	NaN	0.75
006	1	15	no	external	constant	short	1.0	NaN	1.0	right	1	1	8	0.5417671203613281	0	NaN	NaN	0.31
006	1	16	no	external	constant	short	1.7	NaN	1.0	left	1	1	7	0.6217567920684814	0	NaN	NaN	0.31
006	1	17	no	external	constant	short	1.6	NaN	1.0	left	1	1	7	0.8450720310211182	0	NaN	NaN	0.3
006	1	18	no	external	constant	short	1.6	NaN	1.0	left	1	1	7	0.7307331562042236	0	NaN	NaN	0.19
006	1	19	no	external	constant	short	1.6	NaN	1.0	left	1	1	7	0.6362738609313965	0	NaN	NaN	0.42
006	1	20	no	external	constant	short	1.5	NaN	1.0	left	1	1	7	0.6485311985015869	0	NaN	NaN	0.2
006	1	21	no	external	constant	short	1.0	NaN	1.0	right	1	1	8	0.5479958057403564	0	NaN	NaN	0.52
