2023-10-04 13:31:34.534530
Experiment: 	Action_FP_4
Participant: 	012
Counterbalancing order: 	4
Handedness: 	right
Frame Rate: 	120.0653813674553

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
012	0	0	yes	external	practice	NaN	1.2	NaN	1.0	left	1	1	7	0.6782519817352295	0	NaN	NaN	0.44
012	0	1	yes	external	practice	NaN	1.7	NaN	2.8	left	1	1	7	0.6227419376373291	0	NaN	NaN	0.36
012	0	2	yes	external	practice	NaN	1.2	NaN	2.8	right	1	1	8	0.33272409439086914	0	NaN	NaN	0.62
012	0	3	yes	external	practice	NaN	1.1	NaN	1.0	left	1	1	7	0.29561614990234375	0	NaN	NaN	0.17
012	0	4	yes	external	practice	NaN	1.3	NaN	1.0	left	1	1	7	0.3243751525878906	0	NaN	NaN	0.37
012	0	5	yes	external	practice	NaN	1.4	NaN	1.0	right	1	1	8	0.25330185890197754	0	NaN	NaN	0.67
012	0	6	yes	external	practice	NaN	1.6	NaN	2.8	right	1	1	8	0.41727209091186523	0	NaN	NaN	0.34
012	0	7	yes	external	practice	NaN	1.5	NaN	2.8	right	1	1	8	0.40506815910339355	0	NaN	NaN	0.66
012	0	0	no	external	variable	NaN	1.4	NaN	2.8	right	0	1	7	0.7268168926239014	0	NaN	NaN	0.66
012	0	1	no	external	variable	NaN	1.7	NaN	1.0	right	1	1	8	0.396651029586792	0	NaN	NaN	0.35
012	0	2	no	external	variable	NaN	1.3	NaN	1.0	right	1	1	8	0.3727560043334961	0	NaN	NaN	0.33
012	0	3	no	external	variable	NaN	1.1	NaN	1.0	left	1	1	7	0.42831993103027344	0	NaN	NaN	0.29
012	0	4	no	external	variable	NaN	1.2	NaN	2.8	right	1	1	8	0.47794508934020996	0	NaN	NaN	0.52
012	0	5	no	external	variable	NaN	1.1	NaN	2.8	right	1	1	8	0.48879194259643555	0	NaN	NaN	0.66
012	0	6	no	external	variable	NaN	1.6	NaN	2.8	right	1	1	8	0.4815340042114258	0	NaN	NaN	0.31
012	0	7	no	external	variable	NaN	1.6	NaN	2.8	right	1	1	8	0.43924808502197266	0	NaN	NaN	0.24
012	0	8	no	external	variable	NaN	1.2	NaN	1.0	left	1	1	7	0.5375552177429199	0	NaN	NaN	0.19
012	0	9	no	external	variable	NaN	1.6	NaN	1.0	left	1	1	7	0.5598468780517578	0	NaN	NaN	0.23
012	0	10	no	external	variable	NaN	1.6	NaN	2.8	left	1	1	7	0.41788411140441895	0	NaN	NaN	0.58
012	0	11	no	external	variable	NaN	1.7	NaN	1.0	left	1	1	7	0.43648815155029297	0	NaN	NaN	0.38
012	0	12	no	external	variable	NaN	1.1	NaN	2.8	left	1	1	7	0.38901209831237793	0	NaN	NaN	0.69
012	0	13	no	external	variable	NaN	1.3	NaN	2.8	left	1	1	7	0.4098548889160156	0	NaN	NaN	0.33
012	0	14	no	external	variable	NaN	1.6	NaN	1.0	right	1	1	8	0.5230791568756104	0	NaN	NaN	0.28
012	0	15	no	external	variable	NaN	1.6	NaN	2.8	right	1	1	8	0.4670398235321045	0	NaN	NaN	0.33
012	0	16	no	external	variable	NaN	1.1	NaN	2.8	right	1	1	8	0.45047712326049805	0	NaN	NaN	0.17
012	0	17	no	external	variable	NaN	1.7	NaN	1.0	left	1	1	7	0.6126818656921387	0	NaN	NaN	0.21
012	0	18	no	external	variable	NaN	1.2	NaN	1.0	right	1	1	8	0.3876819610595703	0	NaN	NaN	0.32
012	0	19	no	external	variable	NaN	1.6	NaN	1.0	left	1	1	7	0.3810160160064697	0	NaN	NaN	0.75
