2023-10-18 16:20:06.101043
Experiment: 	Action_FP_4
Participant: 	014
Counterbalancing order: 	2
Handedness: 	right
Frame Rate: 	120.0076680314618

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
014	0	0	yes	external	practice	NaN	1.3	NaN	2.8	left	0	0	NaN	NaN	0	NaN	NaN	0.48
014	0	1	yes	external	practice	NaN	1.2	NaN	2.8	left	1	1	7	0.7221980094909668	0	NaN	NaN	0.41
014	0	2	yes	external	practice	NaN	1.2	NaN	1.0	right	1	1	8	0.6805510520935059	0	NaN	NaN	0.36
014	0	3	yes	external	practice	NaN	1.2	NaN	2.8	left	1	1	7	0.68430495262146	0	NaN	NaN	0.77
014	0	4	yes	external	practice	NaN	1.1	NaN	1.0	left	1	1	7	0.6316990852355957	0	NaN	NaN	0.18
014	0	5	yes	external	practice	NaN	1.2	NaN	1.0	right	1	1	8	0.7324090003967285	0	NaN	NaN	0.3
014	0	6	yes	external	practice	NaN	1.1	NaN	1.0	right	1	1	8	0.7585330009460449	0	NaN	NaN	0.33
014	0	7	yes	external	practice	NaN	1.0	NaN	2.8	right	1	1	8	0.8511531352996826	0	NaN	NaN	0.24
014	0	0	no	external	constant	long	1.7	NaN	2.8	left	0	0	NaN	NaN	0	NaN	NaN	0.29
014	0	1	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.9071598052978516	1	8	-0.5268120765686035	0.29
014	0	2	no	external	constant	long	1.6	NaN	2.8	left	1	1	7	0.405195951461792	0	NaN	NaN	0.37
014	0	3	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.47003817558288574	0	NaN	NaN	0.37
014	0	4	no	external	constant	long	1.2	NaN	2.8	left	1	1	7	0.5868740081787109	0	NaN	NaN	0.27
014	0	5	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.6224730014801025	0	NaN	NaN	0.73
014	0	6	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.6576049327850342	0	NaN	NaN	0.47
014	0	7	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.5271480083465576	0	NaN	NaN	0.21
014	0	8	no	external	constant	long	1.4	NaN	2.8	left	0	0	NaN	NaN	0	NaN	NaN	0.44
014	0	9	no	external	constant	long	1.3	NaN	2.8	left	1	1	7	0.6197919845581055	0	NaN	NaN	0.36
014	0	10	no	external	constant	long	1.4	NaN	2.8	left	1	1	7	0.5115139484405518	0	NaN	NaN	0.3
014	0	11	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.4114990234375	0	NaN	NaN	0.21
014	0	12	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.6126301288604736	0	NaN	NaN	0.31
014	0	13	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.6924350261688232	0	NaN	NaN	0.53
014	0	14	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.5615899562835693	0	NaN	NaN	0.7
014	0	15	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.4938991069793701	0	NaN	NaN	0.21
014	0	16	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.5138850212097168	0	NaN	NaN	0.18
014	0	17	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.5861520767211914	0	NaN	NaN	0.25
014	0	18	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.42421698570251465	0	NaN	NaN	0.21
014	0	19	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.7274150848388672	0	NaN	NaN	0.35
014	0	20	no	external	constant	long	1.2	NaN	2.8	left	1	1	7	0.4487299919128418	0	NaN	NaN	0.41
014	0	21	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.5979361534118652	0	NaN	NaN	0.34
014	0	22	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.5059411525726318	0	NaN	NaN	0.39
014	0	23	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.5844881534576416	0	NaN	NaN	0.78
014	0	24	no	external	constant	long	1.2	NaN	2.8	right	1	1	8	0.5375828742980957	0	NaN	NaN	0.2
014	0	25	no	external	constant	long	1.0	NaN	2.8	right	1	1	8	0.6299440860748291	0	NaN	NaN	0.25
014	0	26	no	external	constant	long	1.2	NaN	2.8	left	1	1	7	0.6624839305877686	0	NaN	NaN	0.34
014	0	27	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.9470119476318359	0	NaN	NaN	0.22
014	0	28	no	external	constant	long	1.0	NaN	2.8	left	1	1	7	0.5766310691833496	0	NaN	NaN	0.27
014	0	29	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.44829607009887695	0	NaN	NaN	0.36
014	0	30	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.5225050449371338	0	NaN	NaN	0.21
014	0	31	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.5636060237884521	0	NaN	NaN	0.21
014	0	32	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.43736720085144043	0	NaN	NaN	0.16
014	0	33	no	external	constant	long	1.3	NaN	2.8	right	0	1	7	0.4492759704589844	0	NaN	NaN	0.58
014	0	34	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.47839784622192383	0	NaN	NaN	0.3
014	0	35	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.5920698642730713	0	NaN	NaN	0.18
014	0	36	no	external	constant	long	1.4	NaN	2.8	left	1	1	7	0.587244987487793	0	NaN	NaN	0.19
014	0	37	no	external	constant	long	1.7	NaN	2.8	right	1	1	8	0.4872899055480957	0	NaN	NaN	0.67
014	0	38	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.346966028213501	0	NaN	NaN	0.34
014	0	39	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.5648958683013916	0	NaN	NaN	0.35
014	0	40	no	external	constant	long	1.4	NaN	2.8	right	1	1	8	0.5734739303588867	0	NaN	NaN	0.51
014	0	41	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.5213479995727539	0	NaN	NaN	0.32
014	0	42	no	external	constant	long	1.0	NaN	2.8	left	1	1	7	0.474686861038208	0	NaN	NaN	0.46
014	0	43	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.6587519645690918	0	NaN	NaN	0.23
014	0	44	no	external	constant	long	1.4	NaN	2.8	left	1	1	7	0.5374181270599365	0	NaN	NaN	0.17
014	0	45	no	external	constant	long	1.3	NaN	2.8	right	1	1	8	0.42160797119140625	0	NaN	NaN	0.45
014	0	46	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.5609629154205322	0	NaN	NaN	0.4
014	0	47	no	external	constant	long	1.1	NaN	2.8	right	1	1	8	0.685089111328125	0	NaN	NaN	0.68
014	0	48	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.49167299270629883	0	NaN	NaN	0.4
014	0	49	no	external	constant	long	1.1	NaN	2.8	left	1	1	7	0.6170580387115479	0	NaN	NaN	0.66
014	0	50	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.5325641632080078	0	NaN	NaN	0.21
014	0	51	no	external	constant	long	1.5	NaN	2.8	right	1	1	8	0.6000730991363525	0	NaN	NaN	0.27
014	0	52	no	external	constant	long	1.7	NaN	2.8	right	1	1	8	0.5568950176239014	0	NaN	NaN	0.24
014	0	53	no	external	constant	long	1.5	NaN	2.8	left	1	1	7	0.45318007469177246	0	NaN	NaN	0.28
014	0	54	no	external	constant	long	1.7	NaN	2.8	left	1	1	7	0.43444180488586426	0	NaN	NaN	0.33
014	0	55	no	external	constant	long	1.6	NaN	2.8	right	1	1	8	0.6356499195098877	0	NaN	NaN	0.31
014	1	0	no	external	constant	short	1.2	NaN	1.0	left	1	1	7	0.7406368255615234	0	NaN	NaN	0.72
014	1	1	no	external	constant	short	1.2	NaN	1.0	left	1	1	7	0.6032159328460693	0	NaN	NaN	0.73
014	1	2	no	external	constant	short	1.2	NaN	1.0	right	1	1	8	0.45827794075012207	0	NaN	NaN	0.21
014	1	3	no	external	constant	short	1.6	NaN	1.0	left	1	1	7	0.38197994232177734	0	NaN	NaN	0.26
014	1	4	no	external	constant	short	1.4	NaN	1.0	left	1	1	7	0.4959890842437744	0	NaN	NaN	0.41
014	1	5	no	external	constant	short	1.4	NaN	1.0	left	1	1	7	0.5157568454742432	0	NaN	NaN	0.17
014	1	6	no	external	constant	short	1.0	NaN	1.0	right	1	1	8	0.4013218879699707	0	NaN	NaN	0.26
014	1	7	no	external	constant	short	1.2	NaN	1.0	left	1	1	7	0.3611109256744385	0	NaN	NaN	0.58
014	1	8	no	external	constant	short	1.5	NaN	1.0	right	1	1	8	0.39160585403442383	0	NaN	NaN	0.76
014	1	9	no	external	constant	short	1.6	NaN	1.0	left	1	1	7	0.35347986221313477	0	NaN	NaN	0.18
014	1	10	no	external	constant	short	1.1	NaN	1.0	right	1	1	8	0.3749418258666992	0	NaN	NaN	0.21
014	1	11	no	external	constant	short	1.1	NaN	1.0	right	1	1	8	0.6787879467010498	0	NaN	NaN	0.34
