2023-09-29 11:04:59.470785
Experiment: 	Action_FP_4
Participant: 	008
Counterbalancing order: 	4
Handedness: 	right
Frame Rate: 	119.94143484626647

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
008	0	0	yes	external	practice	NaN	1.2	NaN	2.8	left	1	1	7	0.687453031539917	0	NaN	NaN	0.47
008	0	1	yes	external	practice	NaN	1.4	NaN	2.8	right	1	1	8	0.5442891120910645	0	NaN	NaN	0.21
008	0	2	yes	external	practice	NaN	1.5	NaN	1.0	left	1	1	7	0.36083984375	0	NaN	NaN	0.35
008	0	3	yes	external	practice	NaN	1.4	NaN	2.8	right	1	1	8	0.4040369987487793	0	NaN	NaN	0.17
008	0	4	yes	external	practice	NaN	1.5	NaN	1.0	right	1	1	8	1.1094520092010498	0	NaN	NaN	0.52
008	0	5	yes	external	practice	NaN	1.4	NaN	2.8	right	1	1	8	0.6463570594787598	0	NaN	NaN	0.22
008	0	6	yes	external	practice	NaN	1.6	NaN	1.0	left	1	1	7	0.4589729309082031	0	NaN	NaN	0.46
008	0	7	yes	external	practice	NaN	1.6	NaN	1.0	left	1	1	7	0.5000109672546387	0	NaN	NaN	0.28
008	0	0	no	external	variable	NaN	1.0	NaN	2.8	left	1	1	7	0.5202209949493408	0	NaN	NaN	0.37
008	0	1	no	external	variable	NaN	1.2	NaN	2.8	right	1	1	8	0.6232521533966064	0	NaN	NaN	0.23
008	0	2	no	external	variable	NaN	1.3	NaN	1.0	left	1	1	7	0.37685298919677734	0	NaN	NaN	0.31
008	0	3	no	external	variable	NaN	1.6	NaN	2.8	left	1	1	7	0.47802305221557617	0	NaN	NaN	0.3
008	0	4	no	external	variable	NaN	1.3	NaN	2.8	left	1	1	7	0.5443198680877686	0	NaN	NaN	0.48
008	0	5	no	external	variable	NaN	1.3	NaN	1.0	right	1	1	8	0.5017328262329102	0	NaN	NaN	0.73
008	0	6	no	external	variable	NaN	1.5	NaN	2.8	left	1	1	7	0.29354214668273926	0	NaN	NaN	0.32
008	0	7	no	external	variable	NaN	1.2	NaN	1.0	right	1	1	8	0.5309140682220459	0	NaN	NaN	0.45
008	0	8	no	external	variable	NaN	1.2	NaN	1.0	right	1	1	8	0.901043176651001	0	NaN	NaN	0.25
008	0	9	no	external	variable	NaN	1.2	NaN	1.0	left	1	1	7	0.47936010360717773	0	NaN	NaN	0.18
008	0	10	no	external	variable	NaN	1.1	NaN	1.0	right	1	1	8	0.4998779296875	0	NaN	NaN	0.17
008	0	11	no	external	variable	NaN	1.7	NaN	1.0	right	1	1	8	0.5453081130981445	0	NaN	NaN	0.27
008	0	12	no	external	variable	NaN	1.7	NaN	1.0	left	1	1	7	0.36870384216308594	0	NaN	NaN	0.71
008	0	13	no	external	variable	NaN	1.8	NaN	1.0	left	1	1	7	0.5566020011901855	0	NaN	NaN	0.67
008	0	14	no	external	variable	NaN	1.7	NaN	1.0	left	1	1	7	0.47345495223999023	0	NaN	NaN	0.25
008	0	15	no	external	variable	NaN	1.3	NaN	2.8	left	1	1	7	0.5370080471038818	0	NaN	NaN	0.43
008	0	16	no	external	variable	NaN	1.0	NaN	2.8	left	1	1	7	0.46132516860961914	0	NaN	NaN	0.27
008	0	17	no	external	variable	NaN	1.7	NaN	2.8	right	1	1	8	0.7426810264587402	0	NaN	NaN	0.44
008	0	18	no	external	variable	NaN	1.1	NaN	1.0	right	1	1	8	0.5944890975952148	0	NaN	NaN	0.18
008	0	19	no	external	variable	NaN	1.1	NaN	1.0	left	1	1	7	0.3183460235595703	0	NaN	NaN	0.16
008	0	20	no	external	variable	NaN	1.5	NaN	1.0	right	1	1	8	0.4140470027923584	0	NaN	NaN	0.77
008	0	21	no	external	variable	NaN	1.6	NaN	1.0	left	1	1	7	0.30684590339660645	0	NaN	NaN	0.24
008	0	22	no	external	variable	NaN	1.3	NaN	1.0	right	1	1	8	0.37944602966308594	0	NaN	NaN	0.22
008	0	23	no	external	variable	NaN	1.4	NaN	1.0	right	0	1	7	0.2644009590148926	0	NaN	NaN	0.42
008	0	24	no	external	variable	NaN	1.7	NaN	1.0	right	1	1	8	0.4240419864654541	0	NaN	NaN	0.38
008	0	25	no	external	variable	NaN	1.7	NaN	2.8	right	1	1	8	0.4994471073150635	0	NaN	NaN	0.37
008	0	26	no	external	variable	NaN	1.2	NaN	2.8	right	1	1	8	0.5209000110626221	0	NaN	NaN	0.49
008	0	27	no	external	variable	NaN	1.6	NaN	1.0	left	1	1	7	0.48337602615356445	0	NaN	NaN	0.18
008	0	28	no	external	variable	NaN	1.1	NaN	1.0	right	1	1	8	0.38408994674682617	0	NaN	NaN	0.29
008	0	29	no	external	variable	NaN	1.6	NaN	2.8	left	1	1	7	0.42472314834594727	0	NaN	NaN	0.51
008	0	30	no	external	variable	NaN	1.1	NaN	1.0	left	1	1	7	0.48328614234924316	0	NaN	NaN	0.46
008	0	31	no	external	variable	NaN	1.1	NaN	1.0	right	1	1	8	0.39715099334716797	0	NaN	NaN	0.49
008	0	32	no	external	variable	NaN	1.6	NaN	1.0	left	1	1	7	0.3711230754852295	0	NaN	NaN	0.22
