0.7076 	WARNING 	Speech-to-text recognition module for PocketSphinx is not available (use command `pip install SpeechRecognition` to get it). Transcription will be unavailable using that service this session.
20.2376 	EXP 	Created ITI_interval = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='ITI_interval', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
20.2407 	EXP 	Created Fixation_action = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation_action', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
20.2439 	EXP 	Created Fixation_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1.        ,  0.00392157, -1.        ]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
20.2518 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.88888889, 0.5       ]), texRes=128, units='height', win=Window(...))
20.2540 	EXP 	Created ITI_interval = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='ITI_interval', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
20.2551 	EXP 	Created block_end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='block_end_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
20.2749 	EXP 	target_example_left: autoDraw = True
20.2749 	EXP 	target_example_right: autoDraw = True
20.2749 	EXP 	Texto_instrucoes1_top: autoDraw = True
20.2749 	EXP 	Texto_instrucoes1_bottom: autoDraw = True
44.4917 	DATA 	Keypress: 1
44.4974 	EXP 	target_example_left: autoDraw = False
44.4974 	EXP 	target_example_right: autoDraw = False
44.4974 	EXP 	Texto_instrucoes1_top: autoDraw = False
44.4974 	EXP 	Texto_instrucoes1_bottom: autoDraw = False
44.4974 	EXP 	Texto_instrucoes2_top: autoDraw = True
44.4974 	EXP 	target_example_left_2: autoDraw = True
44.4974 	EXP 	Texto_instrucoes2_bottom: autoDraw = True
50.7163 	DATA 	Keypress: 1
50.7225 	EXP 	Texto_instrucoes2_top: autoDraw = False
50.7225 	EXP 	target_example_left_2: autoDraw = False
50.7225 	EXP 	Texto_instrucoes2_bottom: autoDraw = False
50.7225 	EXP 	Texto_instrucoes3_top: autoDraw = True
50.7225 	EXP 	target_example_right_3: autoDraw = True
50.7225 	EXP 	Texto_instrucoes3_bottom: autoDraw = True
54.9500 	DATA 	Keypress: 1
54.9558 	EXP 	Texto_instrucoes3_top: autoDraw = False
54.9558 	EXP 	target_example_right_3: autoDraw = False
54.9558 	EXP 	Texto_instrucoes3_bottom: autoDraw = False
54.9558 	EXP 	Fixation_black_example: autoDraw = True
54.9558 	EXP 	Fixation_green_example: autoDraw = True
54.9558 	EXP 	Texto_instrucoes4_top: autoDraw = True
54.9558 	EXP 	Texto_instrucoes4_bottom: autoDraw = True
72.3055 	EXP 	Imported action-external.xlsx as conditions, 4 conditions, 4 params
72.3061 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
72.3065 	EXP 	New trial (rep=0, index=0): {'runExternalPractice': 0, 'runActionPractice': 20, 'runExternal': 0, 'runAction': 1}
72.3070 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
72.3077 	EXP 	Created sequence: random, trialTypes=1, nReps=20, seed=None
72.3080 	EXP 	New trial (rep=0, index=0): None
72.3494 	DATA 	Keypress: 1
72.3557 	EXP 	Fixation_black_example: autoDraw = False
72.3557 	EXP 	Fixation_green_example: autoDraw = False
72.3557 	EXP 	Texto_instrucoes4_top: autoDraw = False
72.3557 	EXP 	Texto_instrucoes4_bottom: autoDraw = False
72.3557 	EXP 	instrucoes_practica_action: height = 0.05
72.3557 	EXP 	instrucoes_practica_action: height = 0.05
72.3557 	EXP 	instrucoes_practica_action: height = 0.05
72.3557 	EXP 	instrucoes_practica_action: text = 'Nesta primeira parte da tarefa, a cruz preta aparecerá na tela e permanecerá lá até você pressionar a tecla 1 na caixa de respostas para fazê-la mudar de cor. Utilize sua mão não-dominante para pressionar a tecla 1 (p. ex., se você é destro, utilize a mão esquerda para pressionar a tecla 1). Só então a cruz mudará de preta para verde. Nesse momento, você deverá se preparar para a apresentação do estímulo.\n\nDepois de responder ao estímulo, aguarde até que a cruz preta apareça novamente antes de apertar a tecla 1 para fazê-la mudar de cor novamente.\n\nAntes de iniciarmos, vamos praticar um pouco. Pressione a tecla 1 para iniciar a fase de prática.'
72.3557 	EXP 	instrucoes_practica_action: autoDraw = True
105.2881 	EXP 	Imported action_fp_4_practiceRight.xlsx as conditions, 8 conditions, 4 params
105.2886 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
105.2889 	EXP 	New trial (rep=0, index=0): {'orientation': 'right', 'foreperiod': 1, 'imageFile': 'gabor_right.png', 'corrAns': 8}
105.2899 	DATA 	Keypress: 1
105.2971 	EXP 	instrucoes_practica_action: autoDraw = False
105.2971 	EXP 	Fixation_action: autoDraw = True
108.9446 	DATA 	Keypress: 1
108.9554 	EXP 	Fixation_action: autoDraw = False
108.9554 	EXP 	target: image = 'gabor_right.png'
108.9554 	EXP 	Fixation_2: autoDraw = True
109.9220 	EXP 	target: autoDraw = True
109.9555 	EXP 	Fixation_2: autoDraw = False
110.1222 	EXP 	target: autoDraw = False
110.9150 	DATA 	Keypress: 8
110.9220 	EXP 	Fixation_2: autoDraw = False
110.9220 	EXP 	target: autoDraw = False
110.9220 	EXP 	ITI_interval: autoDraw = True
111.2560 	EXP 	New trial (rep=0, index=1): {'orientation': 'left', 'foreperiod': 2.8, 'imageFile': 'gabor_left.png', 'corrAns': 7}
111.2637 	EXP 	ITI_interval: autoDraw = False
111.2637 	EXP 	ITI_interval: autoDraw = False
111.2637 	EXP 	Fixation_action: autoDraw = True
112.1439 	DATA 	Keypress: 1
112.1553 	EXP 	Fixation_action: autoDraw = False
112.1553 	EXP 	target: image = 'gabor_left.png'
112.1553 	EXP 	Fixation_2: autoDraw = True
114.9219 	EXP 	target: autoDraw = True
114.9555 	EXP 	Fixation_2: autoDraw = False
115.0393 	DATA 	Keypress: 1
115.1222 	EXP 	target: autoDraw = False
116.2222 	EXP 	Fixation_2: autoDraw = False
116.2222 	EXP 	target: autoDraw = False
116.2222 	EXP 	ITI_interval: autoDraw = True
116.3893 	EXP 	New trial (rep=0, index=2): {'orientation': 'right', 'foreperiod': 1, 'imageFile': 'gabor_right.png', 'corrAns': 8}
116.3970 	EXP 	ITI_interval: autoDraw = False
116.3970 	EXP 	ITI_interval: autoDraw = False
116.3970 	EXP 	Fixation_action: autoDraw = True
118.2348 	DATA 	Keypress: 1
118.2470 	EXP 	Fixation_action: autoDraw = False
118.2470 	EXP 	target: image = 'gabor_right.png'
118.2470 	EXP 	Fixation_2: autoDraw = True
119.2136 	EXP 	target: autoDraw = True
119.2472 	EXP 	Fixation_2: autoDraw = False
119.4138 	EXP 	target: autoDraw = False
119.7982 	DATA 	Keypress: 8
119.8052 	EXP 	Fixation_2: autoDraw = False
119.8052 	EXP 	target: autoDraw = False
119.8052 	EXP 	ITI_interval: autoDraw = True
120.0475 	EXP 	New trial (rep=0, index=3): {'orientation': 'left', 'foreperiod': 1, 'imageFile': 'gabor_left.png', 'corrAns': 7}
