participant,FP,logFP,condition,FPType,conFPDur,orientation,prevOri,seqOri,oneBackFP,block,countBalance,condTestPos,meanRT,meanLogRT,meanRTzscore,meanInvRT,numFP,numOneBackFP,numLogFP,squaredNumFP,squaredNumLogFP,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,1,0,external,constant,short,right,right,same,1,5,1,2,0.42898031381460333,-0.3718513360885207,-0.44486078015041775,2.3767878733541434,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,constant,short,right,left,different,1,5,1,2,0.4486992359161377,-0.3547964926398528,-0.25685099581622156,2.2980068024493927,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,constant,short,left,right,different,1,5,1,2,0.47095443521227154,-0.3389920122248,-0.04465911238385532,2.2373009728052984,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,constant,short,left,right,different,NA,5,1,2,0.4294919967651367,-0.36704492448261616,-0.4399821462838243,2.3283320935706278,1,NA,0,1,0,-1.01525955503275,1.0307519640852973,NA
1,1,0,external,constant,short,left,left,same,1,5,1,2,0.480787625679603,-0.33251140799004325,0.04909530327643118,2.216371985968695,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,right,right,same,1,6,1,2,0.45304425557454425,-0.3463447954712695,-0.21542346723740033,2.2333180624480886,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,right,right,same,1,7,1,2,0.4341399669647217,-0.3657347082590971,-0.3956661400479794,2.3393714498400886,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,right,right,same,2.8,6,1,2,0.5885469913482666,-0.24177835663492897,1.0765254536181084,1.791823035710425,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,right,right,same,2.8,7,1,2,0.5644702911376953,-0.25465367319319004,0.8469664954377123,1.8252452840482811,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,right,left,different,1,6,1,2,0.4652870297431946,-0.3377016180023541,-0.09869490980164111,2.201107270230083,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,right,left,different,1,7,1,2,0.4665307203928629,-0.33206474913373585,-0.08683695886402797,2.1527415234840017,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,right,left,different,2.8,6,1,2,0.5274235725402832,-0.2839762397406788,0.4937450800923397,1.9472845882729721,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,right,left,different,2.8,7,1,2,0.45314931869506836,-0.34511605105838467,-0.214421744398317,2.2208759745415874,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,left,right,different,1,6,1,2,0.4936378399531046,-0.31043570658039094,0.17161548981448085,2.062633127193183,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,left,right,different,1,7,1,2,0.4095662832260132,-0.38875353924791245,-0.6299635806596972,2.4535549778069505,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,left,right,different,2.8,6,1,2,0.46940159797668457,-0.35173102836170933,-0.05946461707957584,2.3714098555155707,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,left,right,different,2.8,7,1,2,0.4543625116348266,-0.34409609045151063,-0.20285457344519617,2.2161271404314884,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,left,left,same,1,7,1,2,0.44544947147369385,-0.3540414641197862,-0.28783582900409965,2.2735662679278916,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,external,variable,NA,left,left,same,2.8,6,1,2,0.45046937465667725,-0.3486262362101643,-0.23997363298995683,2.243456964665959,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,external,variable,NA,left,left,same,2.8,7,1,2,0.5084603786468506,-0.30571298149215154,0.3129407756869584,2.073881583160662,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,constant,short,right,right,same,1,0,1,1,0.4232041835784912,-0.378201404671778,-0.49993321232424226,2.4118688354272786,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,constant,short,right,left,different,1,0,1,1,0.4366540692069314,-0.3647715416555241,-0.3716954677202466,2.3427452973554925,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
