participant,block,trial,practice,condition,FPType,conFPDur,extFixDur,actionTrigLatency,FP,orientation,Acc,responseGiven,response,RT,preRespGiven,preResp,preTime,ITI,countBalance,handedness,oneBackFP
1,0,42,no,action,constant,short,,0.4108490943908691,1.0,right,1,1,8.0,0.3371109962463379,0,,,0.24,1,right,1.0
1,0,43,no,action,constant,short,,0.4350159168243408,1.0,right,1,1,8.0,0.436176061630249,0,,,0.39,1,right,1.0
1,0,44,no,action,constant,short,,0.4319219589233398,1.0,right,1,1,8.0,0.3996589183807373,0,,,0.59,1,right,1.0
1,0,45,no,action,constant,short,,0.4151690006256103,1.0,right,1,1,8.0,0.3936719894409179,0,,,0.19,1,right,1.0
1,0,46,no,action,constant,short,,0.4737269878387451,1.0,left,1,1,7.0,0.3471689224243164,0,,,0.28,1,right,1.0
1,0,47,no,action,constant,short,,0.3112611770629883,1.0,left,1,1,7.0,0.3815531730651855,0,,,0.21,1,right,1.0
1,0,48,no,action,constant,short,,0.4393279552459717,1.0,right,1,1,8.0,0.4053518772125244,0,,,0.36,1,right,1.0
1,0,49,no,action,constant,short,,0.4233579635620117,1.0,right,1,1,8.0,0.4002020359039306,0,,,0.25,1,right,1.0
1,0,50,no,action,constant,short,,0.3860318660736084,1.0,right,1,1,8.0,0.4568860530853271,0,,,0.17,1,right,1.0
1,0,51,no,action,constant,short,,0.5767929553985596,1.0,left,1,1,7.0,0.3869960308074951,0,,,0.32,1,right,1.0
1,0,52,no,action,constant,short,,0.4688730239868164,1.0,left,1,1,7.0,0.3714861869812011,0,,,0.77,1,right,1.0
1,0,53,no,action,constant,short,,0.4907081127166748,1.0,left,1,1,7.0,0.3853318691253662,0,,,0.19,1,right,1.0
1,0,54,no,action,constant,short,,0.5151288509368896,1.0,left,1,1,7.0,0.391402006149292,0,,,0.23,1,right,1.0
1,0,55,no,action,constant,short,,0.5030720233917236,1.0,left,1,1,7.0,0.2677550315856933,0,,,0.4,1,right,1.0
1,1,0,no,action,variable,,,1.8428959846496584,1.0,right,1,1,8.0,0.4080801010131836,0,,,0.54,1,right,
1,1,1,no,action,variable,,,0.4215188026428222,2.8,left,1,1,7.0,0.5114808082580566,0,,,0.28,1,right,1.0
1,1,2,no,action,variable,,,0.5313889980316162,1.0,right,1,1,8.0,0.5113081932067871,0,,,0.25,1,right,2.8
1,1,3,no,action,variable,,,0.5533578395843506,2.8,right,1,1,8.0,0.7430598735809326,0,,,0.24,1,right,1.0
1,1,4,no,action,variable,,,0.701225996017456,1.0,left,1,1,7.0,0.3853750228881836,0,,,0.22,1,right,2.8
1,1,5,no,action,variable,,,0.4533751010894775,2.8,left,1,1,7.0,0.4076361656188965,0,,,0.46,1,right,1.0
1,1,6,no,action,variable,,,0.4044170379638672,2.8,right,1,1,8.0,0.4997320175170898,0,,,0.32,1,right,2.8
1,1,7,no,action,variable,,,0.4157819747924804,1.0,left,1,1,7.0,0.5345759391784668,0,,,0.33,1,right,2.8
1,1,8,no,action,variable,,,0.5163290500640869,2.8,right,1,1,8.0,0.4550979137420654,0,,,0.35,1,right,1.0
1,1,9,no,action,variable,,,0.570828914642334,1.0,left,1,1,7.0,0.3761520385742187,0,,,0.27,1,right,2.8
1,1,10,no,action,variable,,,0.6020798683166504,1.0,right,1,1,8.0,0.4357140064239502,0,,,0.35,1,right,1.0
1,1,11,no,action,variable,,,0.6055130958557129,2.8,left,1,1,7.0,0.5237851142883301,0,,,0.48,1,right,1.0
1,1,12,no,action,variable,,,0.4451990127563476,1.0,left,1,1,7.0,0.8004469871520996,0,,,0.73,1,right,2.8
1,1,13,no,action,variable,,,0.5199379920959473,1.0,right,1,1,8.0,0.436633825302124,0,,,0.46,1,right,1.0
1,1,14,no,action,variable,,,0.3664271831512451,2.8,left,1,1,7.0,0.5055038928985596,0,,,0.37,1,right,1.0
1,1,15,no,action,variable,,,0.4093539714813232,2.8,left,1,1,7.0,0.4562051296234131,0,,,0.21,1,right,2.8
1,1,16,no,action,variable,,,0.4321260452270508,2.8,right,1,1,8.0,0.8306968212127686,0,,,0.26,1,right,2.8
1,1,17,no,action,variable,,,0.4667749404907226,1.0,right,1,1,8.0,0.5377299785614014,0,,,0.51,1,right,2.8
1,1,18,no,action,variable,,,0.4371891021728515,1.0,right,1,1,8.0,0.5078160762786865,0,,,0.45,1,right,1.0
1,1,19,no,action,variable,,,0.4253890514373779,2.8,right,1,1,8.0,0.3926270008087158,0,,,0.39,1,right,1.0
1,1,20,no,action,variable,,,0.4363059997558594,2.8,right,1,1,8.0,0.4398379325866699,0,,,0.24,1,right,2.8
1,1,21,no,action,variable,,,0.521759033203125,2.8,left,1,1,7.0,0.4752960205078125,0,,,0.39,1,right,2.8
1,1,22,no,action,variable,,,0.5210859775543213,2.8,left,1,1,7.0,0.5471141338348389,0,,,0.16,1,right,2.8
