participant,block,trial,practice,condition,FPType,conFPDur,extFixDur,actionTrigLatency,FP,orientation,Acc,responseGiven,response,RT,preRespGiven,preResp,preTime,ITI,countBalance,handedness,oneBackFP,condTestPos,numFP,numOneBackFP,squaredNumFP,seqOri,prevOri,numLogFP,logFP,logOneBackFP,logRT,invRT,RTzscore,logRTzscore,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,0,40,no,action,constant,short,NA,0.4309010505676269,1,right,1,1,8,0.329035997390747,0,NA,NA,0.71,1,right,1,1,1,1,1,same,right,0,0,0,-0.4827565865091072,3.039181147138892,-1.3977784538206133,-1.7060478727719155,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,41,no,action,constant,short,NA,0.4505360126495361,1,left,1,1,7,0.3349809646606445,0,NA,NA,0.23,1,right,1,1,1,1,1,different,right,0,0,0,-0.4749798711056141,2.985244254141602,-1.341096247332242,-1.617976264727889,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,42,no,action,constant,short,NA,0.4108490943908691,1,right,1,1,8,0.3371109962463379,0,NA,NA,0.24,1,right,1,1,1,1,1,different,left,0,0,0,-0.47222708096696225,2.9663820259048084,-1.3207874912557582,-1.5868008080550227,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,43,no,action,constant,short,NA,0.4350159168243408,1,right,1,1,8,0.436176061630249,0,NA,NA,0.39,1,right,1,1,1,1,1,same,right,0,0,0,-0.3603381732075023,2.292652183300491,-0.37625302421037377,-0.3196545236173566,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,44,no,action,constant,short,NA,0.4319219589233398,1,right,1,1,8,0.3996589183807373,0,NA,NA,0.59,1,right,1,1,1,1,1,same,right,0,0,0,-0.3983104913133305,2.502133579432211,-0.7244252108791085,-0.7496925207951173,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,45,no,action,constant,short,NA,0.4151690006256103,1,right,1,1,8,0.3936719894409179,0,NA,NA,0.19,1,right,1,1,1,1,1,same,right,0,0,0,-0.4048654850421563,2.54018580651413,-0.7815075003168267,-0.8239280827853229,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,46,no,action,constant,short,NA,0.4737269878387451,1,left,1,1,7,0.3471689224243164,0,NA,NA,0.28,1,right,1,1,1,1,1,different,right,0,0,0,-0.45945915856383707,2.880442157716471,-1.2248903361357089,-1.442203584281153,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,47,no,action,constant,short,NA,0.3112611770629883,1,left,1,1,7,0.3815531730651855,0,NA,NA,0.21,1,right,1,1,1,1,1,same,left,0,0,0,-0.4184449304230649,2.620866685412566,-0.897054183926368,-0.9777158362249639,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,48,no,action,constant,short,NA,0.4393279552459717,1,right,1,1,8,0.4053518772125244,0,NA,NA,0.36,1,right,1,1,1,1,1,different,left,0,0,0,-0.39216781139432294,2.4669923989909237,-0.6701457752853917,-0.6801264289301958,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,49,no,action,constant,short,NA,0.4233579635620117,1,right,1,1,8,0.4002020359039306,0,NA,NA,0.25,1,right,1,1,1,1,1,same,right,0,0,0,-0.3977207063554952,2.498737913067619,-0.7192468645233636,-0.7430131829330937,-0.902093023255814,0.8137718226068146,-0.8968347010550997
